Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,18.19,3.01,0.0003,0.08,0.19
10,17.59,0.48,0.0,0.07,0.35
50,18.2,0.38,0.0,0.05,0.73
128,18.51,0.44,0.0,0.09,0.56
256,18.78,0.47,0.0,0.1,0.48
512,18.79,0.55,0.0001,0.07,0.65
1024,18.53,0.47,0.0,0.07,0.66
1500,18.53,0.47,0.0,0.05,0.74
2048,19.14,0.52,0.0001,0.05,0.76
2500,19.12,0.43,0.0,0.05,0.75
3000,19.06,0.49,0.0,0.09,0.55
3250,19.1,0.43,0.0,0.03,0.86
3500,19.11,0.48,0.0,0.12,0.39
3750,19.22,0.5,0.0,0.03,0.82
4096,19.25,0.53,0.0001,0.05,0.77
4500,19.83,0.5,0.0001,0.05,0.74
