Neurons,Layers,Training time,Prediction time,By image,Loss,Acc
5,2,18.86,0.47,0.0,0.07,0.29
5,4,19.55,0.51,0.0001,0.08,0.21
5,6,21.32,0.63,0.0001,0.09,0.12
5,8,23.11,0.61,0.0001,0.08,0.3
10,2,17.65,0.51,0.0001,0.06,0.51
10,4,19.57,0.53,0.0001,0.08,0.26
10,6,21.31,0.55,0.0001,0.07,0.32
10,8,23.17,0.63,0.0001,0.08,0.24
50,2,18.2,0.41,0.0,0.1,0.48
50,4,20.17,0.5,0.0001,0.07,0.49
50,6,21.83,0.57,0.0001,0.04,0.72
50,8,23.9,0.65,0.0001,0.04,0.74
128,2,18.57,0.54,0.0001,0.09,0.55
128,4,20.96,0.54,0.0001,0.05,0.74
128,6,22.68,0.59,0.0001,0.05,0.62
128,8,24.59,0.69,0.0001,0.03,0.74
256,2,18.87,0.5,0.0001,0.09,0.54
256,4,21.43,0.62,0.0001,0.05,0.74
256,6,23.46,0.65,0.0001,0.03,0.84
256,8,25.52,0.68,0.0001,0.05,0.64
512,2,18.98,0.53,0.0001,0.07,0.63
512,4,21.19,0.58,0.0001,0.03,0.84
512,6,23.42,0.68,0.0001,0.02,0.85
512,8,25.77,0.73,0.0001,0.01,0.94
1024,2,18.63,0.54,0.0001,0.05,0.75
1024,4,20.97,0.61,0.0001,0.03,0.83
1024,6,22.7,0.68,0.0001,0.01,0.95
1024,8,24.61,0.68,0.0001,0.01,0.94
1500,2,18.56,0.56,0.0001,0.08,0.57
1500,4,21.05,0.57,0.0001,0.03,0.86
1500,6,22.86,0.67,0.0001,0.01,0.95
1500,8,24.72,0.69,0.0001,0.01,0.96
2048,2,19.14,0.51,0.0001,0.03,0.86
2048,4,21.38,0.58,0.0001,0.03,0.87
2048,6,23.6,0.64,0.0001,0.01,0.96
2048,8,25.97,0.71,0.0001,0.01,0.96
2500,2,19.22,0.52,0.0001,0.06,0.68
2500,4,21.49,0.63,0.0001,0.03,0.84
2500,6,24.54,0.66,0.0001,0.01,0.96
2500,8,27.98,0.71,0.0001,0.01,0.96
3000,2,19.13,0.52,0.0001,0.07,0.65
3000,4,22.46,0.61,0.0001,0.01,0.95
3000,6,26.51,0.69,0.0001,0.01,0.96
3000,8,30.8,0.71,0.0001,0.01,0.96
3500,2,19.08,0.5,0.0,0.03,0.85
3500,4,24.15,0.59,0.0001,0.01,0.96
3500,6,29.58,0.65,0.0001,0.01,0.96
3500,8,35.55,0.7,0.0001,0.01,0.96
4000,2,19.2,0.56,0.0001,0.07,0.65
4000,4,25.38,0.61,0.0001,0.01,0.96
4000,6,31.79,0.66,0.0001,0.01,0.97
4000,8,38.69,0.68,0.0001,0.18,0.1
4500,2,19.95,0.47,0.0,0.05,0.74
4500,4,28.57,0.6,0.0001,0.03,0.87
4500,6,37.95,0.64,0.0001,0.01,0.97
4500,8,47.03,0.69,0.0001,0.18,0.1
5000,2,20.67,0.51,0.0001,0.06,0.68
5000,4,30.88,0.58,0.0001,0.05,0.74
5000,6,41.58,0.67,0.0001,0.01,0.96
5000,8,53.02,0.7,0.0001,0.18,0.1
5500,2,22.66,0.47,0.0,0.03,0.82
5500,4,36.66,0.56,0.0001,0.01,0.96
5500,6,51.34,0.67,0.0001,0.18,0.1
5500,8,65.92,0.73,0.0001,0.02,0.88
6000,2,23.24,0.4,0.0,0.08,0.58
6000,4,39.08,0.62,0.0001,0.18,0.1
6000,6,55.08,0.69,0.0001,0.18,0.1
6000,8,70.74,0.73,0.0001,0.0,0.97
6500,2,24.55,0.48,0.0,0.06,0.68
6500,4,43.04,0.6,0.0001,0.01,0.95
6500,6,61.25,0.68,0.0001,0.18,0.11
6500,8,79.61,0.82,0.0001,0.01,0.97
7000,2,25.0,0.66,0.0001,0.09,0.56
7000,4,44.45,0.6,0.0001,0.01,0.97
7000,6,63.53,0.7,0.0001,0.18,0.09
7000,8,81.48,0.9,0.0001,0.01,0.96
7500,2,26.95,0.5,0.0,0.05,0.76
7500,4,51.07,0.63,0.0001,0.03,0.86
7500,6,74.45,0.79,0.0001,0.18,0.1
7500,8,96.56,1.04,0.0001,0.0,0.97
8000,2,27.5,0.5,0.0001,0.05,0.77
8000,4,51.58,0.63,0.0001,0.03,0.85
8000,6,74.79,0.84,0.0001,0.0,0.97
8000,8,97.08,1.12,0.0001,0.18,0.1
8500,2,30.47,0.55,0.0001,0.09,0.57
8500,4,61.36,0.65,0.0001,0.01,0.96
8500,6,90.19,0.95,0.0001,0.18,0.1
8500,8,119.22,1.26,0.0001,0.02,0.88
9000,2,30.99,0.52,0.0001,0.07,0.67
9000,4,61.45,0.68,0.0001,0.16,0.21
9000,6,90.61,1.02,0.0001,0.18,0.1
9000,8,121.34,1.33,0.0001,0.18,0.1
9500,2,33.82,0.55,0.0001,0.07,0.67
9500,4,70.89,0.74,0.0001,0.01,0.97
9500,6,105.93,1.14,0.0001,0.18,0.09
9500,8,142.4,1.5,0.0001,0.0,0.97
10000,2,34.08,0.5,0.0001,0.08,0.59
10000,4,70.39,0.81,0.0001,0.18,0.09
10000,6,105.76,1.21,0.0001,0.18,0.1
10000,8,142.55,1.64,0.0002,0.18,0.1
