Neurons,Layers,Training time,Inference time,By image,Loss,Acc
5,2,18.88,0.35,0.0,0.09,0.21
5,4,19.68,0.61,0.0001,0.09,0.08
5,6,22.28,0.62,0.0001,0.09,0.11
5,8,23.79,0.7,0.0001,0.09,0.13
10,2,18.33,0.51,0.0001,0.09,0.21
10,4,20.36,0.6,0.0001,0.09,0.1
10,6,22.09,0.5,0.0,0.09,0.14
10,8,23.87,0.67,0.0001,0.09,0.11
50,2,18.87,0.48,0.0,0.08,0.51
50,4,20.76,0.57,0.0001,0.08,0.31
50,6,22.64,0.69,0.0001,0.09,0.25
50,8,24.49,0.64,0.0001,0.09,0.17
128,2,19.4,0.59,0.0001,0.07,0.57
128,4,21.6,0.64,0.0001,0.09,0.35
128,6,23.78,0.65,0.0001,0.09,0.16
128,8,25.63,0.69,0.0001,0.09,0.22
256,2,19.59,0.54,0.0001,0.06,0.59
256,4,22.38,0.62,0.0001,0.09,0.48
256,6,24.4,0.68,0.0001,0.09,0.22
256,8,26.52,0.75,0.0001,0.09,0.18
512,2,19.57,0.56,0.0001,0.06,0.72
512,4,22.0,0.67,0.0001,0.08,0.48
512,6,24.14,0.71,0.0001,0.09,0.41
512,8,26.5,0.73,0.0001,0.09,0.19
1024,2,19.31,0.58,0.0001,0.05,0.75
1024,4,21.5,0.65,0.0001,0.08,0.54
1024,6,23.44,0.68,0.0001,0.09,0.39
1024,8,25.4,0.77,0.0001,0.09,0.31
1500,2,19.32,0.5,0.0,0.05,0.76
1500,4,21.57,0.82,0.0001,0.07,0.68
1500,6,23.58,0.71,0.0001,0.09,0.5
1500,8,25.45,0.75,0.0001,0.09,0.49
2048,2,19.86,0.58,0.0001,0.04,0.79
2048,4,22.15,0.63,0.0001,0.07,0.61
2048,6,24.31,0.71,0.0001,0.09,0.37
2048,8,26.41,0.9,0.0001,0.09,0.3
2500,2,19.8,0.61,0.0001,0.05,0.78
2500,4,22.22,0.64,0.0001,0.07,0.64
2500,6,25.22,0.68,0.0001,0.09,0.46
2500,8,28.62,0.73,0.0001,0.09,0.26
3000,2,19.82,0.55,0.0001,0.05,0.78
3000,4,23.25,0.66,0.0001,0.06,0.68
3000,6,27.51,0.71,0.0001,0.09,0.6
3000,8,31.5,0.77,0.0001,0.09,0.51
3500,2,19.76,0.58,0.0001,0.04,0.79
3500,4,24.86,0.64,0.0001,0.07,0.67
3500,6,30.27,0.68,0.0001,0.09,0.54
3500,8,36.23,0.71,0.0001,0.09,0.59
4000,2,20.07,0.51,0.0001,0.04,0.79
4000,4,26.12,0.59,0.0001,0.06,0.68
4000,6,32.45,0.71,0.0001,0.09,0.44
4000,8,39.42,0.73,0.0001,0.09,0.44
4500,2,20.56,0.54,0.0001,0.04,0.8
4500,4,29.25,0.63,0.0001,0.06,0.66
4500,6,38.72,0.73,0.0001,0.09,0.47
4500,8,47.99,0.74,0.0001,0.09,0.36
5000,2,21.2,0.49,0.0,0.04,0.8
5000,4,31.45,0.63,0.0001,0.06,0.67
5000,6,42.36,0.71,0.0001,0.09,0.57
5000,8,53.77,0.75,0.0001,0.09,0.51
5500,2,23.35,0.61,0.0001,0.04,0.8
5500,4,37.47,0.66,0.0001,0.06,0.72
5500,6,52.07,0.71,0.0001,0.09,0.37
5500,8,66.64,0.77,0.0001,0.09,0.52
6000,2,23.94,0.6,0.0001,0.04,0.81
6000,4,39.75,0.65,0.0001,0.06,0.7
6000,6,55.66,0.89,0.0001,0.08,0.42
6000,8,71.66,0.77,0.0001,0.09,0.41
6500,2,25.31,0.59,0.0001,0.04,0.79
6500,4,43.66,0.66,0.0001,0.06,0.7
6500,6,62.01,0.7,0.0001,0.09,0.46
6500,8,80.28,0.83,0.0001,0.09,0.38
7000,2,25.72,0.57,0.0001,0.04,0.81
7000,4,45.17,0.64,0.0001,0.06,0.69
7000,6,64.34,0.7,0.0001,0.08,0.41
7000,8,82.56,0.89,0.0001,0.09,0.61
7500,2,27.76,0.57,0.0001,0.04,0.8
7500,4,51.79,0.67,0.0001,0.06,0.68
7500,6,75.24,0.8,0.0001,0.09,0.49
7500,8,97.73,1.04,0.0001,0.09,0.4
8000,2,28.15,0.58,0.0001,0.04,0.8
8000,4,52.44,0.68,0.0001,0.06,0.69
8000,6,75.39,0.84,0.0001,0.08,0.5
8000,8,97.76,1.1,0.0001,0.09,0.33
8500,2,31.15,0.59,0.0001,0.04,0.8
8500,4,62.25,0.67,0.0001,0.06,0.67
8500,6,91.05,0.97,0.0001,0.09,0.5
8500,8,120.27,1.24,0.0001,0.09,0.47
9000,2,31.61,0.57,0.0001,0.04,0.8
9000,4,62.24,0.7,0.0001,0.06,0.7
9000,6,91.57,1.04,0.0001,0.08,0.48
9000,8,122.06,1.34,0.0001,0.09,0.43
9500,2,34.45,0.6,0.0001,0.04,0.8
9500,4,71.92,0.74,0.0001,0.06,0.71
9500,6,106.64,1.13,0.0001,0.08,0.45
9500,8,143.15,1.49,0.0001,0.09,0.42
10000,2,34.69,0.55,0.0001,0.04,0.8
10000,4,71.1,0.82,0.0001,0.06,0.72
10000,6,106.65,1.21,0.0001,0.08,0.46
10000,8,143.17,1.61,0.0002,0.09,0.31
