Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,61.73,3.49,0.0003,0.08,0.29
10,59.36,0.87,0.0001,0.06,0.52
50,59.6,0.87,0.0001,0.07,0.63
128,59.75,0.87,0.0001,0.09,0.56
256,59.7,0.87,0.0001,0.07,0.65
512,59.8,0.87,0.0001,0.11,0.47
1024,59.77,0.88,0.0001,0.06,0.71
1500,60.21,0.88,0.0001,0.03,0.84
2048,60.77,0.88,0.0001,0.09,0.56
2500,61.39,0.89,0.0001,0.03,0.86
3000,61.98,0.89,0.0001,0.05,0.77
3250,62.91,0.9,0.0001,0.05,0.76
3500,62.57,0.9,0.0001,0.05,0.75
3750,63.47,0.9,0.0001,0.09,0.56
4096,59.29,0.52,0.0001,0.05,0.76
4500,27.96,0.91,0.0001,0.06,0.68
