Neurons,Execution time ,Prediction time,By image,Loss,Acc
5,4.42,0.16,0.0,0.07,0.36
10,5.47,0.13,0.0,0.07,0.42
50,6.12,0.16,0.0,0.04,0.81
128,7.61,0.17,0.0,0.11,0.47
256,11.96,0.2,0.0,0.05,0.74
512,23.46,0.25,0.0,0.07,0.64
1024,76.18,0.91,0.0001,0.05,0.75
1500,103.38,2.46,0.0002,0.06,0.72
2048,161.78,3.65,0.0004,0.08,0.6
2500,208.22,3.34,0.0003,0.07,0.66
3000,256.87,3.7,0.0004,0.09,0.55
3250,312.16,4.58,0.0005,0.06,0.68
3500,318.95,3.32,0.0003,0.08,0.58
3750,343.27,4.65,0.0005,0.03,0.83
4096,383.95,3.22,0.0003,0.08,0.58
4500,419.59,3.76,0.0004,0.1,0.48
