./mnist_tflite_models/CNN_mnist_model.tflite,./mnist_tflite_models/CNN_mnist_model_quant.tflite,./mnist_tflite_models/CNN_mnist_model_quant16.tflite,./mnist_tflite_models/CNN_mnist_model_quant8.tflite,./mnist_tflite_models/FFNN_mnist_model.tflite,./mnist_tflite_models/FFNN_mnist_model_quant.tflite,./mnist_tflite_models/FFNN_mnist_model_quant16.tflite,./mnist_tflite_models/FFNN_mnist_model_quant8.tflite,cnn,ffnn
4.63,4.63,4.62,3.24,8.96,5.54,9.25,13.36,3.77,7.27
4.63,4.63,4.62,3.3,8.97,5.45,9.19,13.37,3.26,6.86
4.62,4.63,4.61,3.24,8.96,5.44,9.14,13.47,3.3,6.78
4.62,4.63,4.61,3.23,9.05,5.43,9.05,13.39,3.27,6.88
4.69,4.63,4.61,3.24,8.97,5.46,9.0,13.41,3.28,6.83
4.63,4.62,4.6,3.23,8.97,5.43,8.97,13.38,3.28,6.79
4.63,4.63,4.61,3.24,8.96,5.42,9.04,13.38,3.52,6.86
4.62,4.69,4.61,3.24,8.97,5.45,9.09,13.39,3.27,6.89
4.63,4.62,4.61,3.24,8.97,5.44,9.13,13.38,3.24,6.52
4.62,4.63,4.61,3.23,8.97,5.43,9.11,13.38,3.3,6.47
